word,grade_level,difficulty,definition,sentence,part_of_speech,origin
absence,4,hard,the state of not being present,Her absence from class surprised the teacher.,noun,Latin
accidentally,4,hard,done by chance without intention,She accidentally knocked over the glass.,adverb,Latin
accommodate,5,hard,to have enough room for something or someone,The van could accommodate all eight students.,verb,Latin
address,3,medium,the location where someone lives or a speech,She wrote the address on the envelope carefully.,noun,Latin
aerial,4,hard,relating to the air or positioned in the air,The aerial photograph showed the whole school.,adjective,Latin
aisle,4,hard,a passage between rows of seats,She walked down the aisle to find her seat.,noun,French
amateur,5,hard,a person who does something for enjoyment rather than pay,Even as an amateur she performed with great skill.,noun,French
among,3,medium,in the middle of or surrounded by others,She found her pencil among the papers on her desk.,preposition,English
angel,3,medium,a divine or heavenly being,The costume had white wings like an angel.,noun,Greek
arctic,4,hard,relating to the cold region around the North Pole,The arctic fox has thick white fur in winter.,adjective,Greek
assistance,4,hard,the action of helping someone,She offered assistance to the younger students.,noun,Latin
athlete,4,medium,a person who trains and competes in sports,Every athlete on the team attended morning practice.,noun,Greek
attendance,4,medium,the act of being present at a place,Perfect attendance earned her a special ribbon.,noun,Latin
awful,3,medium,very bad or unpleasant,The rotten egg had an awful smell.,adjective,English
beautiful,3,medium,very pleasing to look at or hear,She drew a beautiful picture of the garden.,adjective,French
believe,3,medium,to feel certain that something is true,She could not believe how fast the time passed.,verb,English
biscuit,4,hard,a small baked bread that is soft inside,He spread butter on his warm biscuit.,noun,French
borrowed,3,medium,temporarily taken with permission,She borrowed a pencil and returned it after class.,verb,English
bruise,4,hard,a mark on the skin from an injury,She got a bruise on her knee after the fall.,noun,French
buoyant,5,hard,able to float in water or cheerful in mood,The buoyant balloon floated above the crowd.,adjective,French
business,4,medium,a company or someone's trade or work,Her mother ran a small business from home.,noun,English
camouflage,5,hard,colors or patterns that help hide something,The lizard used camouflage to blend into the rocks.,noun,French
caught,3,hard,past tense of catch,He caught the ball with one hand.,verb,English
ceiling,4,hard,the top inner surface of a room,The spider dangled from the ceiling.,noun,French
cemetery,5,hard,a place where people are buried,The old cemetery had tall oak trees along the path.,noun,Greek
choir,4,hard,a group of people who sing together,She joined the school choir in the fourth grade.,noun,Greek
colonel,5,hard,a high-ranking military officer,The colonel inspected the troops at sunrise.,noun,French
committee,5,hard,a group chosen to make decisions,The school committee met every Thursday morning.,noun,Latin
conscience,5,hard,the sense of knowing right from wrong,Her conscience told her to return the wallet.,noun,Latin
conscientious,5,hard,very careful and thorough about doing things correctly,She was conscientious about checking every answer.,adjective,Latin
conscious,5,hard,awake and aware of your surroundings,She was fully conscious during the entire procedure.,adjective,Latin
continuous,4,hard,going on without stopping,The continuous drizzle kept them indoors all day.,adjective,Latin
cruelty,4,hard,behavior that causes pain or suffering,The book showed that cruelty always has consequences.,noun,French
debris,5,hard,scattered pieces left after something is destroyed,Debris from the storm covered the playground.,noun,French
definite,4,hard,clearly decided and not changing,She gave a definite yes to the invitation.,adjective,Latin
definitely,4,hard,without any doubt,She was definitely the most prepared student.,adverb,Latin
desperate,5,hard,feeling a very strong need or hopeless urgency,He was desperate to find his missing library book.,adjective,Latin
disappear,4,medium,to stop being visible,The magician made the rabbit disappear.,verb,English
disappoint,4,medium,to fail to meet someone's hopes,She did not want to disappoint her team.,verb,English
disguise,4,hard,a way of changing your appearance to hide who you are,She wore a disguise to the costume party.,noun,French
dissolve,4,hard,to mix completely into a liquid,Sugar will dissolve quickly in warm water.,verb,Latin
dough,3,hard,a thick mixture of flour and water used for baking,She kneaded the dough before putting it in the oven.,noun,English
embarrass,4,hard,to make someone feel awkward or ashamed,She did not want to embarrass herself on stage.,verb,French
especially,4,medium,more than usual or particularly,She was especially good at spelling long words.,adverb,Latin
exaggerate,5,hard,to describe something as greater than it really is,He tended to exaggerate every adventure story.,verb,Latin
exhaust,4,hard,to use something completely or to tire someone out,She did not want to exhaust herself before the race.,verb,Latin
existence,5,hard,the state of being real or alive,The old painting proved the existence of the market.,noun,Latin
fascinating,5,hard,very interesting and attractive,She found the history of language fascinating.,adjective,Latin
February,4,hard,the second month of the year,Valentine's Day falls in February.,noun,Latin
fierce,4,hard,very strong or violent,The fierce wind knocked over the garden chairs.,adjective,French
fiery,4,hard,containing or like fire; very passionate,She delivered a fiery speech that moved the crowd.,adjective,English
foreign,4,medium,from or relating to another country,She wrote to a foreign pen pal every month.,adjective,Latin
forty,3,hard,the number 40,There were forty students waiting in the lunch line.,number,English
fourteen,3,medium,the number 14,She invited fourteen friends to her birthday party.,number,English
ache,3,hard,a dull steady pain,She had an ache in her hand from writing so much.,noun,English
acquaint,5,hard,to make someone familiar with something,She tried to acquaint herself with all the new words.,verb,French
adjourn,5,hard,to stop a meeting and continue it at a later time,The judge decided to adjourn the meeting until Friday.,verb,French
anonymous,5,hard,made by someone whose name is not known,The encouraging note was left by an anonymous student.,adjective,Greek
anxious,4,hard,feeling worried or nervous about something,She felt anxious as she waited for her name to be called.,adjective,Latin
arithmetic,4,hard,the part of mathematics dealing with numbers,She was very fast at arithmetic and rarely made mistakes.,noun,Greek
asthma,5,hard,a medical condition that makes breathing difficult,Her asthma made cold morning runs very challenging.,noun,Greek
awkward,4,hard,causing embarrassment or difficulty,He felt awkward standing alone in front of the crowd.,adjective,English
bicycle,3,hard,a two-wheeled vehicle powered by pedaling,She rode her bicycle to school every day.,noun,Greek
borough,5,hard,a town or district with its own local government,The spelling bee was held in the center of the borough.,noun,English
bureau,5,hard,an office or a chest of drawers,She stored her study notes in the top drawer of the bureau.,noun,French
cough,3,hard,to force air from the throat with a sudden sound,She tried not to cough during the quiet ceremony.,verb,English
debt,4,hard,something owed to another person,The character in the story worked hard to repay his debt.,noun,Latin
dumb,4,medium,unable to speak or said of something done without thinking,He stood dumb with surprise when he heard the results.,adjective,English
especial,4,hard,special or particular above others,The award was given for especial effort and dedication.,adjective,Latin
field,3,hard,an open area of land or an area of study,They played on the wide open field behind the school.,noun,English
freight,4,hard,goods transported by truck train or ship,The freight train carried supplies across the country.,noun,Dutch
ghost,3,medium,the spirit of a dead person said to haunt a place,The story featured a helpful ghost who guided lost travelers.,noun,English
guarantee,5,hard,a firm promise that something will happen,The teacher gave a guarantee that the test would be fair.,noun,French
hoarse,4,hard,having a rough harsh voice from illness or overuse,After cheering at the game all night her voice was hoarse.,adjective,English
immediately,4,hard,at once without any delay,She immediately raised her hand when she knew the answer.,adverb,Latin
knife,3,hard,a sharp cutting tool with a blade and a handle,She used a knife to carefully cut the fruit into slices.,noun,English
kneel,3,hard,to rest on one or both knees,She had to kneel to look under the low bookshelf.,verb,English
knew,3,hard,past tense of the verb know,She knew all twenty words long before the test began.,verb,English
knight,3,hard,a medieval soldier who wore armor and served a lord,The knight in the legend was known for his honesty.,noun,English
knot,3,hard,a fastening made by tying pieces of rope or string,He tied a double knot so his laces would stay tight.,noun,English
knowledgeable,5,hard,having a lot of knowledge about a subject,The knowledgeable librarian helped her find exactly what she needed.,adjective,English
lamb,3,medium,a young sheep,The small lamb stayed close to its mother in the meadow.,noun,English
league,4,hard,a group of people or teams joined for a shared purpose,Her school joined the citywide spelling league this fall.,noun,French
leopard,4,hard,a large wild cat with a yellowish coat covered in dark spots,The leopard moved silently through the tall grass.,noun,Greek
liaison,5,hard,a link or communication channel between two groups,She served as liaison between the student body and the staff.,noun,French
license,5,hard,an official document giving permission to do something,She applied for a library volunteer license.,noun,Latin
liquefy,5,hard,to become or cause to become liquid,The heat would liquefy the wax within seconds.,verb,Latin
ninth,3,hard,the ordinal number for nine,She was the ninth student to approach the microphone.,adjective,English
occurrence,5,hard,an event or something that happens,Seeing a meteor is a rare and exciting occurrence.,noun,Latin
omit,5,hard,to leave out or fail to include something,She was careful not to omit any letters from the long word.,verb,Latin
pamphlet,5,hard,a small booklet containing information on one topic,She designed a pamphlet about reducing plastic waste.,noun,Greek
parliament,5,hard,the group of elected officials who make laws for a country,She wrote a report about how parliament makes new laws.,noun,French
piece,3,hard,a part or portion of something larger,She completed the puzzle one piece at a time.,noun,French
plague,5,hard,a dangerous disease that spreads very quickly,The story described a village struck by a terrible plague.,noun,Latin
playwright,5,hard,a person who writes plays for the theater,The young playwright wrote her first full script in sixth grade.,noun,English
pneumonia,5,hard,a serious lung infection that makes breathing difficult,She recovered slowly from a severe case of pneumonia.,noun,Greek
possess,5,hard,to own or have something,She was lucky to possess such a strong visual memory.,verb,Latin
precede,5,hard,to come before something in time or order,The warm-up words will precede the main competition rounds.,verb,Latin
principal,4,hard,the head of a school or the most important element,The principal welcomed every student to the spelling bee.,noun,Latin
pronunciation,5,hard,the way a word is correctly said aloud,Good pronunciation can give useful clues about spelling.,noun,Latin
queue,5,hard,a line of people waiting for something,She joined the queue and waited patiently for her turn.,noun,French
receipt,4,hard,a document proving that money or goods have been received,She saved the receipt in case she needed to make a return.,noun,French
reign,5,hard,the period of time during which a ruler is in power,The queen's long reign was celebrated throughout the land.,noun,French
reluctant,5,hard,unwilling to do something,He was reluctant to go first but finally raised his hand.,adjective,Latin
repetition,5,hard,the act of saying or doing something more than once,Repetition is one of the most effective ways to memorize words.,noun,Latin
responsible,5,hard,being the cause of something or being trusted with a duty,She was responsible for keeping the final word list organized.,adjective,Latin
sacrifice,5,hard,giving up something valued for a more important cause,She made a sacrifice by giving up TV time to study.,noun,Latin
scissors,4,hard,a tool with two sharp blades used for cutting,She cut the paper neatly with a pair of scissors.,noun,Latin
seize,5,hard,to grab something quickly and firmly,She tried to seize the opportunity before it passed.,verb,French
sergeant,5,hard,a middle-ranking officer in the police or military,The sergeant organized the school safety demonstration.,noun,French
silhouette,5,hard,a dark shape seen against a lighter background,She saw the silhouette of a hawk against the bright sky.,noun,French
souvenir,5,hard,a small object kept as a memory of a place or event,She bought a souvenir at every spelling bee she ever attended.,noun,French
sovereign,5,hard,a king or queen who rules a country,The sovereign waved to the crowd from the palace balcony.,noun,French
suspicious,5,hard,feeling that something is not right or cannot be trusted,She was suspicious when every answer seemed too obvious.,adjective,Latin
sword,4,hard,a weapon with a long metal blade,The knight in the legend wielded a silver sword.,noun,English
thistle,4,hard,a prickly wild plant with purple flowers,The thistle grew along the edge of the stone wall.,noun,English
thumb,3,hard,the short thick finger on the side of the hand,She pressed her thumb onto the ink pad to make a fingerprint.,noun,English
tongue,4,hard,the soft muscular organ in the mouth used for tasting and speaking,She bit her tongue accidentally while talking.,noun,English
tragedy,5,hard,an event that causes great suffering or a very sad story,The play ended in tragedy when the hero made a fatal mistake.,noun,Greek
twelfth,4,hard,the ordinal position for twelve,She was the twelfth student to spell on the final stage.,adjective,English
unanimous,5,hard,with complete agreement from everyone,The vote was unanimous and the new rule passed right away.,adjective,Latin
unnecessary,5,hard,not needed or more than what is required,She removed all unnecessary words from her final draft.,adjective,Latin
vacuum,5,hard,a space entirely empty of matter,The custodian used a vacuum to clean the stage after the event.,noun,Latin
vitamin,5,hard,a natural substance the body needs to stay healthy,She took a vitamin supplement with her breakfast each morning.,noun,Latin
Wednesday,4,hard,the fourth day of the week,The school spelling bee takes place every Wednesday.,noun,English
weird,4,hard,strange or unusual in a way that is hard to explain,It seemed weird that the hallway was completely empty.,adjective,English
wield,5,hard,to hold and use something especially a weapon or tool,She could wield a pencil with incredible precision.,verb,English
wrench,4,hard,a tool for gripping and turning or a sudden painful twist,He used a wrench to tighten the loose bolt.,noun,English
wrestle,5,hard,to struggle physically or to deal with a difficult problem,She would wrestle with the hardest words until she got them right.,verb,English
wrinkle,4,hard,a small crease or fold in cloth or skin,The map had a wrinkle down the center from being folded.,noun,English
wrist,3,hard,the joint that connects the hand to the forearm,She wore a colorful bracelet on her right wrist.,noun,English
yacht,5,hard,a large boat used for racing or leisure sailing,She admired the yacht as it glided into the harbor.,noun,Dutch
yield,5,hard,to produce a result or to give way to something,She hoped the extra study time would yield better results.,verb,English
autumn,3,medium,the season between summer and winter,The leaves fall from the trees in autumn.,noun,Latin
climb,3,medium,to go up something using your hands and feet,She liked to climb the old oak tree in the yard.,verb,English
column,4,hard,a tall vertical pillar or a vertical list of numbers,She added up all the numbers in the right column.,noun,Latin
condemn,5,hard,to express strong disapproval of something,The judge would not condemn someone without clear evidence.,verb,Latin
crumb,3,hard,a tiny piece of bread or cake,She swept every crumb off the table after lunch.,noun,English
design,4,medium,a plan or drawing showing how something will look,She sketched out a design for her project cover.,noun,Latin
doubt,3,hard,a feeling of being uncertain about something,He had no doubt that she would win.,noun,French
fasten,4,hard,to attach or close something firmly,She used a clip to fasten the pages together.,verb,English
glisten,4,hard,to shine with a sparkling light,The wet grass would glisten in the morning sun.,verb,English
hasten,4,hard,to move or act quickly,She began to hasten her steps when rain started to fall.,verb,English
hymn,4,hard,a song of praise sung in a religious service,The choir sang a traditional hymn at the assembly.,noun,Greek
isle,4,hard,a small island,They sailed around the rocky isle to find a safe harbor.,noun,French
limb,3,hard,an arm or leg or a branch of a tree,She carefully climbed onto the lowest limb.,noun,English
moisten,4,hard,to make something slightly wet,She used a damp cloth to moisten the envelope flap.,verb,English
numb,4,hard,unable to feel anything because of cold or shock,Her fingers were numb after building the snowman.,adjective,English
plumb,5,hard,perfectly vertical or to measure depth,The builder checked that the wall was plumb before continuing.,adjective,French
psalm,5,hard,a sacred song or hymn from the Bible,She read a psalm at the school's morning assembly.,noun,Greek
scenic,4,medium,providing beautiful natural views,They took the scenic road home through the mountains.,adjective,Greek
scent,3,hard,a distinctive smell often pleasant,The scent of fresh bread filled the kitchen.,noun,Latin
subtle,5,hard,so slight or gentle that it is hard to notice,There was a subtle difference between the two spellings.,adjective,Latin
wrath,4,hard,extreme anger,The villain's wrath caused chaos in the village.,noun,English
wreck,4,hard,a vehicle that has been destroyed or badly damaged,She read a story about divers who explored a shipwreck.,noun,English
achieve,4,hard,to successfully reach a goal through effort,She worked hard to achieve a perfect score.,verb,French
belief,4,hard,something you think is true,It was her belief that practice always leads to improvement.,noun,English
brief,3,hard,lasting only a short time,She gave a brief answer and sat back down.,adjective,French
chief,3,hard,the leader or most important person of a group,The chief judge announced the final round words.,noun,French
grief,4,hard,deep sadness caused by loss,She wrote a poem about grief after her fish died.,noun,French
niece,4,medium,the daughter of your brother or sister,Her niece won first place in the regional spelling bee.,noun,French
shield,3,hard,a piece of armor held for protection,The knight raised his shield to block the blow.,noun,English
shriek,4,hard,to make a loud high-pitched cry,She let out a shriek of excitement when she won.,verb,English
siege,5,hard,a military operation surrounding a place to force it to surrender,The soldiers laid siege to the old castle in the story.,noun,French
thief,4,hard,a person who steals things,The clever detective caught the thief before morning.,noun,English
accurate,4,hard,correct and without error,She made sure every answer was completely accurate.,adjective,Latin
aggressive,4,hard,ready to attack or behave forcefully,The aggressive team scored first in every round.,adjective,Latin
annually,4,hard,happening once every year,The spelling bee is held annually in the spring.,adverb,Latin
appreciate,4,medium,to recognize the value or quality of something,She began to appreciate how much practice truly helps.,verb,Latin
collect,3,medium,to gather things together,She would collect interesting words in her notebook.,verb,Latin
connect,3,medium,to join or link things together,She used arrows to connect related ideas on her map.,verb,Latin
correct,3,medium,free from mistakes and following the right standard,She made sure every spelling was correct before submitting.,adjective,Latin
happen,3,easy,to take place or occur,What will happen if she forgets the silent letter?,verb,English
misspell,4,hard,to spell a word in the wrong way,It is very easy to misspell words with double letters.,verb,English
necessary,4,hard,absolutely needed to achieve something,It is necessary to study every word on the list.,adjective,Latin
occasion,5,hard,a particular time when something happens,She dressed beautifully for the special occasion.,noun,Latin
opposite,3,medium,completely different or placed across from something,She sat on the opposite side of the classroom.,adjective,Latin
suggest,4,medium,to put forward an idea for consideration,He would suggest a new word to practice each morning.,verb,Latin
success,4,medium,the achievement of something you have aimed for,Her success came from dedication and hard work.,noun,Latin
allowed,3,medium,permitted to do something,She was allowed to pick her own study words.,verb,English
aloud,3,medium,spoken so that others can hear,She read her spelling list aloud every evening.,adverb,English
bare,3,medium,not covered or empty,She walked across the bare floor in her socks.,adjective,English
bear,3,medium,a large wild animal or to carry a weight,The polar bear swam easily in the icy water.,noun,English
brake,3,hard,a device used to stop a vehicle,She pressed the brake gently to slow down.,noun,English
break,3,hard,to separate into pieces or a short rest,She had to break the word into syllables to spell it.,verb,English
choose,3,medium,to pick something from options,She had to choose between two equally hard words.,verb,English
chose,3,medium,past tense of choose,She chose the word she had practiced the most.,verb,English
coarse,4,hard,rough in texture or not refined,The coarse fabric scratched her arm.,adjective,English
complement,5,hard,something that completes or goes well with another,The definition was a perfect complement to the sentence.,noun,Latin
compliment,5,hard,a polite expression of praise,She gave her teammate a warm compliment after the round.,noun,Latin
desert,4,medium,a very dry sandy area with little rain,The camel walked for days through the hot desert.,noun,Latin
dessert,4,hard,a sweet food eaten at the end of a meal,She ordered chocolate pudding for dessert.,noun,French
ensure,4,hard,to make sure something will happen,She checked her spelling twice to ensure it was correct.,verb,French
flour,3,hard,a fine powder made from grain used in baking,She measured a cup of flour for the recipe.,noun,English
flower,3,easy,the colorful part of a plant that produces seeds,She pressed a yellow flower inside her notebook.,noun,English
horse,3,easy,a large four-legged animal used for riding,She learned to brush the horse before and after riding.,noun,English
not,3,easy,used to make a negative statement,She did not miss a single word in the practice round.,adverb,English
loose,3,hard,not firmly attached,One of the knobs on her backpack was loose.,adjective,English
lose,3,hard,to no longer have something,She did not want to lose her place in the finals.,verb,English
their,3,hard,belonging to them,The students brought their dictionaries to class.,adjective,English
there,3,hard,in or at that place,She left her study notes over there on the table.,adverb,English
through,3,hard,from one side to the other,She read through her word list one more time.,preposition,English
threw,3,hard,past tense of throw,She threw her arms up in excitement when she won.,verb,English
whether,4,hard,indicating a choice between alternatives,She was not sure whether to start with the harder words.,conjunction,English
weather,3,medium,the conditions of the atmosphere outside,The spelling bee was moved inside because of the weather.,noun,English
where,3,easy,in or at which place,She did not know where the word list was kept.,adverb,English
wear,3,medium,to have clothing on your body,She would wear her lucky bracelet on competition day.,verb,English
ancient,4,medium,belonging to the very distant past,The ancient library held books from hundreds of years ago.,adjective,Latin
audience,4,medium,a group of people watching or listening to something,The audience applauded after she spelled the final word.,noun,Latin
circuit,4,hard,a roughly circular route or a path for electricity,She ran two laps around the school's circuit.,noun,Latin
gorgeous,4,hard,very beautiful and attractive,The sunset over the hills was absolutely gorgeous.,adjective,French
jealous,4,medium,feeling upset because of what someone else has,She tried hard not to feel jealous of her classmate's ribbon.,adjective,French
jewelry,4,hard,decorative objects worn on the body,She kept her grandmother's old jewelry in a wooden box.,noun,French
lieutenant,5,hard,an officer of middle rank in the military or police,The lieutenant guided the safety patrol through the building.,noun,French
mischief,4,hard,playful behavior that causes minor trouble,The twins were always getting into some kind of mischief.,noun,French
peculiar,4,hard,strange or unusual in a way that is difficult to explain,There was something peculiar about the empty hallway.,adjective,Latin
precious,4,hard,of great value or very dear to someone,Time is the most precious resource any speller has.,adjective,Latin
scenery,4,medium,the natural landscape of an area,The mountain scenery took everyone's breath away.,noun,Greek
science,3,medium,the study of the natural world through observation and experiment,She developed a love for science after her first experiment.,noun,Latin
sufficient,4,hard,enough to meet a particular need,She had sufficient time to practice every word on the list.,adjective,Latin
unique,4,medium,the only one of its kind,Every word has a unique spelling and meaning.,adjective,Latin
villain,4,medium,a bad character in a story,The villain in the book was surprisingly complex.,noun,French
